nid,ifid,raw_T,scbr,delta,flag
2,1, 297174904200000, 0.023136, 0.030000, 0
2,2, 297174904200000, 0.023649, 0.030000, 0
3,0, 297174904200000, 0.032252, 0.030000, 0
3,1, 297174904200000, 0.024410, 0.030000, 0
3,2, 297174904200000, 0.023262, 0.030000, 0
0,0, 297174904400000, 0.031215, 0.030000, 0
0,1, 297174904400000, 0.024758, 0.030000, 0
0,2, 297174904400000, 0.019828, 0.030000, 0
1,0, 297174904400000, 0.031812, 0.030000, 0
1,1, 297174904400000, 0.025478, 0.030000, 0
1,2, 297174904400000, 0.020506, 0.030000, 0
2,0, 297174904400000, 0.031816, 0.030000, 0
2,1, 297174904400000, 0.027628, 0.030000, 0
2,2, 297174904400000, 0.020984, 0.030000, 0
3,0, 297174904400000, 0.033546, 0.030000, 0
3,1, 297174904400000, 0.026805, 0.030000, 0
3,2, 297174904400000, 0.023731, 0.030000, 0
0,0, 297174904600000, 0.028647, 0.030000, 0
0,1, 297174904600000, 0.026979, 0.030000, 0
0,2, 297174904600000, 0.021594, 0.030000, 0
1,0, 297174904600000, 0.028946, 0.030000, 0
1,1, 297174904600000, 0.024419, 0.030000, 0
1,2, 297174904600000, 0.019013, 0.030000, 0
2,0, 297174904600000, 0.027488, 0.030000, 0
2,1, 297174904600000, 0.024034, 0.030000, 0
2,2, 297174904600000, 0.019252, 0.030000, 0
3,0, 297174904600000, 0.029813, 0.030000, 0
3,1, 297174904600000, 0.025082, 0.030000, 0
3,2, 297174904600000, 0.022086, 0.030000, 0
0,0, 297174904800000, 0.030284, 0.030000, 0
0,1, 297174904800000, 0.025170, 0.030000, 0
0,2, 297174904800000, 0.019557, 0.030000, 0
1,0, 297174904800000, 0.031893, 0.030000, 0
1,1, 297174904800000, 0.022429, 0.030000, 0
1,2, 297174904800000, 0.021187, 0.030000, 0
2,0, 297174904800000, 0.028244, 0.030000, 0
2,1, 297174904800000, 0.019317, 0.030000, 0
2,2, 297174904800000, 0.022766, 0.030000, 0
3,0, 297174904800000, 0.030867, 0.030000, 0
3,1, 297174904800000, 0.022761, 0.030000, 0
3,2, 297174904800000, 0.025643, 0.030000, 0
0,0, 297174905000000, 0.025262, 0.030000, 0
0,1, 297174905000000, 0.019885, 0.030000, 0
0,2, 297174905000000, 0.022919, 0.030000, 0
1,0, 297174905000000, 0.028987, 0.030000, 0
1,1, 297174905000000, 0.021435, 0.030000, 0
1,2, 297174905000000, 0.023733, 0.030000, 0
2,0, 297174905000000, 0.025702, 0.030000, 0
2,1, 297174905000000, 0.019878, 0.030000, 0
2,2, 297174905000000, 0.024523, 0.030000, 0
3,0, 297174905000000, 0.027013, 0.030000, 0
3,1, 297174905000000, 0.018681, 0.030000, 0
3,2, 297174905000000, 0.025961, 0.030000, 0
0,0, 297174905200000, 0.026371, 0.030000, 0
0,1, 297174905200000, 0.021622, 0.030000, 0
0,2, 297174905200000, 0.023139, 0.030000, 0
1,0, 297174905200000, 0.028233, 0.030000, 0
1,1, 297174905200000, 0.023857, 0.030000, 0
1,2, 297174905200000, 0.025007, 0.030000, 0
2,0, 297174905200000, 0.028051, 0.030000, 0
2,1, 297174905200000, 0.023079, 0.030000, 0
2,2, 297174905200000, 0.021022, 0.030000, 0
3,0, 297174905200000, 0.028007, 0.030000, 0
3,1, 297174905200000, 0.019560, 0.030000, 0
3,2, 297174905200000, 0.023201, 0.030000, 0
0,0, 297174905400000, 0.031425, 0.030000, 0
0,1, 297174905400000, 0.023951, 0.030000, 0
0,2, 297174905400000, 0.023950, 0.030000, 0
1,0, 297174905400000, 0.029437, 0.030000, 0
1,1, 297174905400000, 0.020689, 0.030000, 0
1,2, 297174905400000, 0.020503, 0.030000, 0
2,0, 297174905400000, 0.030826, 0.030000, 0
2,1, 297174905400000, 0.021760, 0.030000, 0
2,2, 297174905400000, 0.024351, 0.030000, 0
3,0, 297174905400000, 0.029963, 0.030000, 0
3,1, 297174905400000, 0.021460, 0.030000, 0
3,2, 297174905400000, 0.018900, 0.030000, 0
0,0, 297174905600000, 0.034633, 0.030000, 0
0,1, 297174905600000, 0.026576, 0.030000, 0
0,2, 297174905600000, 0.027375, 0.030000, 0
1,0, 297174905600000, 0.032138, 0.030000, 0
1,1, 297174905600000, 0.024944, 0.030000, 0
1,2, 297174905600000, 0.021252, 0.030000, 0
2,0, 297174905600000, 0.032893, 0.030000, 0
2,1, 297174905600000, 0.028400, 0.030000, 0
